name	twitter_id	twitter_name	party
Strange, Luther	15141113	lutherstrange	R
Sullivan, Dan 	2891210047	SenDanSullivan	R
Suozzi, Thomas R.	816705409486618624	RepTomSuozzi	D
Swalwell, Eric	942156122	RepSwalwell	D
Takano, Mark	1037321378	RepMarkTakano	D
Taylor, Scott	9115312	taylorscott	R
Tenney, Claudia	756285384	claudiatenney	R
Tester, Jon	515822213	SenatorTester	D
Thompson, Bennie G.	82453460	BennieGThompson	D
Thompson, Glenn	18967498	CongressmanGT	R
Thompson, Mike	303861808	RepThompson	D
Thornberry, Mac	1137590713	MacThornberry	R
Thune, John	296361085	SenJohnThune	R
Tiberi, Patrick J.	912608010	PatTiberi	R
Tillis, Thom	22195441	ThomTillis	R
Tipton, Scott  R.	242873057	RepTipton	R
Titus, Dina	17907578	dinatitus	D
Tonko, Paul	84119348	RepPaulTonko	D
Toomey, Pat	26062385	PatToomey	R
Torres, Norma J.	236279233	NormaJTorres	D
Trott, David A.	19936673	davetrott	R
Tsongas, Niki	242892689	nikiinthehouse	D
Turner, Michael R.	51228911	RepMikeTurner	R
Udall, Tom	60828944	SenatorTomUdall	D
Upton, Fred	124224165	RepFredUpton	R
Valadao, David G.	36676406	dgvaladao	R
Van Hollen, Chris	18137749	ChrisVanHollen	D
Vargas, Juan	1260172386	RepJuanVargas	D
Veasey, Marc A.	1074129612	RepVeasey	D
Vela, Filemon	1083448909	RepFilemonVela	D
Velazquez, Nydia M.	164369297	NydiaVelazquez	D
Visclosky, Peter J.	193872188	RepVisclosky	D
Wagner, Ann	1051446626	RepAnnWagner	R
Walberg, Tim	237862972	RepWalberg	R
Walden, Greg	32010840	repgregwalden	R
Walker, Mark	2966205003	RepMarkWalker	R
Walorski, Jackie	1065995022	RepWalorski	R
Walters, Mimi	2327941633	MimiWaltersCA	R
Walz, Timothy J.	85726335	Tim_Walz	D
Warner, Mark R.	7429102	MarkWarner	D
Warren, Elizabeth	970207298	SenWarren	D
Wasserman Schultz, Debbie	115979444	DWStweets	D
Waters, Maxine	36686040	RepMaxineWaters	D
